user_screen_name,text,created_at
laurent41265768,Je me suis fait vacciné car je veux juste sortir le plus vite possible de cette merde Mais c’est sûr qu’avec vous ça va être compliqué,Wed Dec 29 10:22:08 +0000 2021
jdcsef,Je me suis fait vacciné car je crois dans la science et j'ai même fait partie d'un test clinique pro deo évidement d'un vaccin non homologué pour prendre ma part et augmenter le panel de solution contre cette épidémie,Thu Dec 30 19:44:08 +0000 2021
Pikachaton,Je me suis fait vacciné car j'ai juste eu l'occasion et vu mon âge j'ai pas voulu loupé même si j'ai flipper puis bon je me pose toujours des question dessus Pour moi le meilleurs antidote c'est ce désaffecté les main les distanciation et le masque,Thu Dec 30 19:44:08 +0000 2021
ThomasScordia,C’est pas pour moi que je me suis fait vacciné car pas spécialement a risque mais pour protéger les autres qui peuvent l’être,Wed Dec 29 10:22:08 +0000 2021
MisterS76,On doit agir en pleine conscience et faire ce que notre raison nous ordonne tout en respectant les avis des autres Je me suis fait vacciné car je suis convaincu de son efficacité et rien ne m'y a obligé,Wed Dec 29 10:22:08 +0000 2021
LeaAssayag,Je me suis vacciné seulement pour partir en vacance c’est tout et parce que les test antigenique font trop mal,Tue Dec 29 12:00:08 +0000 2021
S_T_R_U,Oui je suis prêt à me faire vacciner autant de fois qu'il le faudra en effet Et si la bêtise tue Tous les jours des antivaccins meurent,Sun Oct 05 10:07:08 +0000 2021
raguhna,Je suis pro vaccin car je suis scientifique Et qu’aucun scientifique de bon sens n’est contre La situation avec mon fils a bien confirmé l’intérêt de la vaccination,Wed Nov 17 18:08:00 +0000 2021
victoriahpln,2022 Je vais reprendre mon régime et mon sport même me vacciné pour aller à la salle ma vie d’avant me manque,Fri Dec 31 21:35:00 +0000 2021
cosmic_blue,Oui pour réduire drastiquement mes chances de tomber malades et que le virus ne mute + à cause de moi Ceci dit on est tous vaccinés depuis des années à d'autres maladies que le covid,Sat Dec 18 22:31:00 +0000 2021
florent_57,Et pour avoir le pass il faut se faire VACCINER car aucun non vacciné ne pourra payer un test tout les 3 jours pour faire ses courses,Sun Oct 05 10:07:08 +0000 2021
Panam_inside,C'est un double voir triple discours on demande aux vaccinés de se faire tester pour pas propager le virus mais on te dis aussi qu'il faut se faire vacciner car sinon on en viendra pas a bout mais le vaccin empêche la propagation ou pas  Et c'est pour protéger qui en fait,Tue Dec 24 10:04:08 +0000 2021
Lorenzato47,C’est exactement pour cela qu’il faut se faire vacciner Car si tu as un super système immunitaire et que tu lui apprends en plus à détruire le  tu deviendras un trou noir à virus. Et tu sauveras malgré toi des vies,Fri Dec 24 14:56:00 +0000 2021
S_K_D,Je suis pour le vaccin car je suis contre l’idée qu’on restreigne ma liberté sur le long terme Or c’est ce qui va se passer si on n’est pas vacciné Donc je ne comprends vraiment pas les antivax Leur logique me semble très paradoxale,Mon Nov 22 10:07:08 +0000 2021
francelibre1958,Je suis pour le vaccin car dans la plupart des cas ca marche j'ai eu mes 2 doses et 0 effets secondaires Après je ne nie pas qu'il puisse y avoir des effets secondaires mais ils représentent 0,Thu Dec 23 15:31:00 +0000 2021
FabFabuleuse,Normalement je suis pour le vaccin car de toute façon on n'a pas  de médicament contre le covid perso je suis du genre à craindre le pire que ça mut en quelque chose de pire mais avec tout ça on se pose la questionVisage avec les yeux levés au ciel car même le président personne ne l'a vu se faire vaccinéPersonne haussant les épaules,Sat Dec 25 10:55:00 +0000 2021
